,date,home_team,away_team,home_score,away_score,country,neutral,impt,home_ranking,home_total_points,home_prev_points,home_rank_change,home_cur_year_avg_weighted,home_last_year_avg_weighted,home_2_year_avg_weighted,home_3_year_avg_weighted,away_ranking,away_total_points,away_prev_points,away_rank_change,away_cur_year_avg_weighted,away_last_year_avg_weighted,away_2_year_avg_weighted,away_3_year_avg_weighted,diff_in_ranking,home_mean_weighted_over_years,away_mean_weighted_over_years,diff_in_mean_weighted_over_years,Result
0,2011-09,Poland,Mexico,1,1,2,0,0,65.0,495.53,498.0,0.0,265.17,69.3,103.32,57.74,20.0,866.38,864.0,0.0,485.18,166.5,142.41,72.29,45.0,123.88250000000001,216.595,-92.71249999999999,1
1,2011-09,Argentina,Nigeria,3,1,0,1,0,10.0,1024.16,1017.0,-1.0,369.67,422.6,136.81,95.08,43.0,613.45,659.0,-5.0,237.32,203.51,90.37,82.25,-33.0,256.03999999999996,153.3625,102.67749999999995,2
2,2011-09,Poland,Germany,2,2,2,0,0,65.0,495.53,498.0,0.0,265.17,69.3,103.32,57.74,3.0,1289.99,1330.0,0.0,557.21,460.73,148.2,123.85,62.0,123.88250000000001,322.4975,-198.615,1
3,2011-09,Saudi Arabia,Australia,1,3,2,0,1,97.0,359.41,372.0,-10.0,138.11,100.13,61.61,59.56,19.0,881.63,837.0,3.0,422.74,225.9,148.18,84.81,78.0,89.8525,220.40749999999997,-130.55499999999995,0
4,2011-09,Argentina,Brazil,0,0,2,0,0,10.0,1024.16,1017.0,-1.0,369.67,422.6,136.81,95.08,7.0,1131.52,1156.0,-1.0,377.18,331.71,313.65,108.98,3.0,256.03999999999996,282.88,-26.840000000000032,1
5,2011-09,Brazil,Argentina,2,0,2,0,0,7.0,1131.52,1156.0,-1.0,377.18,331.71,313.65,108.98,10.0,1024.16,1017.0,-1.0,369.67,422.6,136.81,95.08,-3.0,282.88,256.03999999999996,26.840000000000032,2
6,2011-10,Costa Rica,Brazil,0,1,2,0,0,62.0,522.07,549.0,-5.0,262.14,55.32,141.31,63.3,5.0,1144.32,1132.0,2.0,389.36,353.09,294.36,107.51,57.0,130.51749999999998,286.08,-155.5625,0
7,2011-10,South Korea,Poland,2,2,2,0,0,29.0,774.66,749.0,0.0,455.68,153.24,111.69,54.05,64.0,516.66,496.0,1.0,298.35,79.98,70.09,68.24,-35.0,193.66500000000002,129.16500000000002,64.5,1
8,2011-10,Portugal,Iceland,5,3,2,0,1,8.0,1043.96,1158.0,-3.0,491.17,312.79,148.96,91.04,108.0,299.71,316.0,-2.0,171.79,41.36,44.01,42.55,-100.0,260.99,74.9275,186.0625,2
9,2011-10,Denmark,Portugal,2,1,2,0,1,10.0,1030.47,893.0,7.0,614.78,194.88,140.13,80.68,8.0,1043.96,1158.0,-3.0,491.17,312.79,148.96,91.04,2.0,257.6175,260.99,-3.3725000000000023,2
10,2011-10,Germany,Belgium,3,1,2,0,1,3.0,1352.38,1290.0,0.0,610.96,463.53,129.86,148.03,37.0,669.59,729.0,-3.0,429.25,133.1,54.18,53.06,-34.0,338.09499999999997,167.39749999999998,170.6975,2
11,2011-10,Mexico,Brazil,1,2,2,0,0,22.0,859.94,866.0,-2.0,477.87,160.84,153.02,68.21,5.0,1144.32,1132.0,2.0,389.36,353.09,294.36,107.51,17.0,214.985,286.08,-71.09499999999997,0
12,2011-11,Denmark,Sweden,2,0,2,0,0,11.0,1035.14,1030.0,-1.0,628.8,191.33,145.53,69.48,18.0,891.16,955.0,-4.0,537.78,184.63,104.49,64.26,-7.0,258.78499999999997,222.79,35.994999999999976,2
13,2011-11,Mexico,Serbia,2,0,2,0,0,20.0,866.49,860.0,2.0,478.99,160.84,161.36,65.3,27.0,774.64,854.0,-4.0,359.7,189.8,152.26,72.88,-7.0,216.6225,193.66,22.962500000000006,2
14,2011-11,Panama,Costa Rica,2,0,2,0,0,51.0,585.45,579.0,2.0,340.41,130.36,79.61,35.07,64.0,502.76,522.0,-2.0,253.24,46.02,132.44,71.06,-13.0,146.3625,125.69,20.672500000000014,2
